Name,Current price,Change(%),Open,High,Low,Volume
TOWER SEMICONDUCTOR,28.68,0.0,28.65,29.08,28.51,494893
POWELL INDUSTRIES INC.,122.91,5.96,116.04,124.0,111.5,493840
TANGO THERAPEUTICS INC.,12.88,4.89,12.18,12.99,12.14,492782
THE MIDDLEBY CORP.,143.12,11.65,143.78,143.96,140.79,492106
AMERICAN BATTERY TECHNOLOGY CO.,2.6,2.36,2.55,2.64,2.45,491927
GOGO INC.,8.97,10.22,8.9,9.06,8.73,490015
MCGRATH RENTCORP,129.28,1.21,126.69,130.19,126.69,489861
ROPER TECHNOLOGIES INC.,549.62,0.7,544.1,551.27,538.54,489590
UNITED COMMUNITY BANKS INC.,27.33,0.07,26.71,27.44,26.68,488879
WERNER ENTERPRISES INC.,39.95,1.16,39.03,40.33,38.69,488758
ICAHN ENTERPRISES L.P. DEPOSITARY UNITS,18.39,11.08,18.57,18.75,18.32,484171
FOSSIL GROUP INC.,1.11,0.0,1.11,1.13,1.09,484087
COMMVAULT SYSTEMS INC.,95.29,0.69,93.75,96.12,92.93,481221
MONOLITHIC POWER SYSTEMS INC.,635.86,3.54,614.72,637.59,611.88,481088
SOCIETY PASS INC.,0.1615,14.61,0.175,0.1769,0.1605,480459
ENERGY RECOVERY INC.,15.48,0.32,15.2,15.58,15.03,479964
INOVIO PHARMACEUTICALS INC.,5.04,15.08,5.25,5.31,4.91,479850
KYMERA THERAPEUTICS INC.,32.97,0.89,32.04,33.24,30.99,479700
FUNKO INC.,7.76,4.58,7.28,7.83,7.11,479574
INOZYME PHARMA INC.,5.31,15.85,5.56,5.57,5.14,479110
COMMERCE BANCSHARES INC.,51.53,10.54,50.86,52.14,50.81,478224
CSG SYSTEMS INTERNATIONAL INC.,48.06,15.28,50.04,50.1,48.0,478141
FRESHPET INC.,88.5,1.46,86.85,88.97,86.0,477471
BAOZUN INC. ADS,2.14,13.6,2.17,2.2,2.11,477042
REPAY HOLDINGS CORP.,8.07,11.1,8.02,8.1,7.98,476254
STRUCTURE THERAPEUTICS,43.78,12.86,44.62,44.92,42.89,473420
NEXTNAV INC.,4.09,10.97,4.1,4.13,4.03,472853
WM TECHNOLOGY INC.,0.839,14.04,0.9,0.915,0.831,471340
OMNICELL INC.,32.04,11.42,31.89,32.54,31.08,470005
INOGEN INC,6.66,18.39,7.19,7.19,6.65,468562
MR. COOPER GROUP INC.,67.59,0.99,66.23,68.32,66.2,467903
REGENXBIO INC.,12.24,13.47,12.45,12.68,11.83,467795
AAON INC.,73.32,1.47,71.3,73.58,71.03,467227
PETMED EXPRESS INC.,6.1,13.17,6.23,6.37,6.09,466552
PHOTRONICS INC.,30.64,0.86,30.21,30.96,30.1,466459
SELECTIVE INSURANCE GROUP INC.,99.39,2.68,96.43,99.74,96.17,466045
LAUREATE EDUCATION INC.,12.73,11.77,12.86,12.94,12.73,466025
CUE HEALTH INC.,0.2287,2.1,0.2257,0.23,0.202,465902
ASCENDIS PHARMA A/S ADS,139.77,11.31,139.43,143.76,139.4,465885
WILLIS TOWERS WATSON PUBLIC,250.45,1.28,248.2,251.11,247.61,465778
CRACKER BARREL OLD COUNTRY STORE,82.29,1.21,80.78,82.98,79.04,462554
EVERBRIDGE INC.,23.79,10.46,23.54,24.33,23.47,462345
GROUPON INC.,14.02,10.14,13.98,14.28,13.73,462332
SKYWARD SPECIALTY INSURANCE GROUP,29.76,11.23,30.0,30.36,29.56,461390
CHIMERIX INC.,0.9315,0.08,0.9201,0.9393,0.9055,460668
MERCER INTERNATIONAL INC.,8.03,12.9,8.22,8.27,7.81,460336
ASP ISOTOPES INC.,2.78,11.42,2.86,2.94,2.69,459114
AVIS BUDGET GROUP INC.,161.63,10.69,161.12,164.21,157.45,459101
RENEW ENERGY GLOBAL PLC SHARES,6.44,13.01,6.53,6.53,6.3,458900
BRIGHT GREEN CORP.,0.2109,0.0,0.21,0.225,0.2,458792
EQUINIX INC.,843.47,10.34,845.45,846.83,828.93,457830
VERONA PHARMA PLC ADS,18.31,11.13,18.39,18.39,17.37,457612
CENTURY THERAPEUTICS INC.,3.99,15.67,4.2,4.24,3.93,456438
COGNYTE SOFTWARE,7.08,10.7,7.08,7.15,6.83,455755
DIME COMMUNITY BANCSHARES INC.,21.41,11.92,21.3,21.68,21.16,454582
CONSTRUCTION PARTNERS INC.,48.76,3.22,46.8,49.15,46.51,453875
PURPLE INNOVATION INC.,1.14,10.87,1.15,1.16,1.1,452898
SCHOLAR ROCK HOLDING,15.06,0.8,14.79,15.14,14.48,452438
KEROS THERAPEUTICS INC.,53.02,17.34,56.34,57.06,52.15,452224
ALTO INGREDIENTS INC.,1.8,14.76,1.89,1.89,1.8,451066
ATRECA INC.,0.275,10.94,0.2791,0.29,0.27,450520
INFOBIRD CO. LTD,0.87,113.86,1.01,1.18,0.8601,449239
BETTER HOME & FINANCE HOLDING CO.,0.6226,0.42,0.6144,0.6402,0.605,448179
RESHAPE LIFESCIENCES INC.,0.2032,12.31,0.2001,0.2071,0.194,446948
G-III APPAREL GROUP,30.16,12.39,30.3,30.3,29.73,445124
OMEGA THERAPEUTICS INC.,3.48,4.82,3.33,3.5,3.32,444742
ODDITY TECH,41.62,10.76,41.43,42.1,40.85,444555
CONTEXTLOGIC INC.,4.34,0.93,4.26,4.38,4.13,443783
MONRO INC.,32.57,0.96,31.98,32.87,31.49,443728
PDS BIOTECHNOLOGY,5.41,13.74,5.56,5.59,5.35,442707
MONDAY.COM,214.06,1.39,211.5,216.94,209.0,441065
BIONTECH SE ADS,92.65,11.97,93.56,93.85,91.98,439395
PALTALK INC.,4.97,8.75,4.65,5.07,4.65,437520
IAC INC.,51.29,10.41,51.43,51.95,50.89,437504
TENAYA THERAPEUTICS INC.,4.55,14.21,4.68,4.68,4.31,437401
EXPENSIFY INC.,1.67,10.6,1.68,1.71,1.63,435475
PLAYA HOTELS & RESORTS N.V.,8.47,10.12,8.38,8.55,8.35,435064
MASIMO CORP.,134.48,0.87,132.93,135.25,131.41,434360
AMERIS BANCORP,49.22,0.63,47.65,49.4,47.41,434124
THE VITA COCO CO.,19.94,10.6,19.96,20.02,19.64,433801
VALUENCE MERGER,11.24,0.0,11.24,11.24,11.24,433554
ATOUR LIFESTYLE HOLDINGS,17.84,10.89,17.93,17.93,17.57,432299
PAYLOCITY HOLDING,163.31,2.07,159.48,164.6,158.5,432092
PERSONALIS INC.,1.32,2.33,1.3,1.33,1.24,431750
BRAZE INC.,56.19,2.16,54.71,56.53,54.62,430489
LQR HOUSE INC.,2.58,7.5,2.38,2.64,2.32,428473
GORILLA TECHNOLOGY GROUP INC.,0.5551,10.07,0.5537,0.5762,0.541,428466
VERISIGN INC.,199.6,10.32,201.17,201.17,198.52,427454
NEW MOUNTAIN FINANCE,12.75,10.23,12.77,12.87,12.73,424434
SUNOPTA INC.,6.14,10.16,6.06,6.2,6.01,423935
HUDSON TECHNOLOGIES INC.,12.94,0.86,12.76,13.15,12.73,421871
REDWOODS ACQUISITION,10.78,0.0,10.77,10.78,10.77,421854
THE BANCORP INC.,42.66,0.71,42.02,43.29,41.8,421532
ARCBEST CORP.,128.35,6.09,120.21,128.8,117.42,420789
ZEBRA TECHNOLOGIES,246.48,1.6,240.21,247.94,237.06,418557
HIGHPEAK ENERGY INC.,12.59,14.33,13.26,13.26,12.47,417590
POTLATCHDELTIC CORP.,44.84,11.99,45.13,45.4,44.58,416496
DAY ONE BIOPHARMACEUTICALS,14.92,13.68,15.23,15.31,14.63,416323
TOURMALINE BIO INC.,35.16,2.78,34.53,36.28,33.78,416309
TREACE MEDICAL CONCEPTS INC.,14.03,11.13,13.91,14.25,13.51,415938
FIRST MERCHANTS,33.74,0.15,32.91,34.06,32.85,415589
DUOLINGO INC.,178.89,11.41,178.86,183.63,178.14,415371
KEARNY FINANCIAL,7.23,10.41,7.18,7.29,7.1,413770
SHOCKWAVE MEDICAL INC.,233.53,0.76,229.18,234.74,229.05,413660
NEUMORA THERAPEUTICS INC.,15.36,0.72,15.28,15.84,14.83,413483
TARGET HOSPITALITY,9.82,10.41,9.77,9.91,9.72,412798
SP PLUS CORP.,51.86,10.08,51.73,52.17,51.73,412412
POPULAR INC.,86.2,1.03,83.65,86.71,83.31,410590
HOLLYSYS AUTOMATION TECHNOLOGIES,25.26,0.44,25.09,25.38,25.07,409200
VILLAGE FARMS INTERNATIONAL,0.85,14.49,0.8892,0.89,0.847,408738
PROGRESS SOFTWARE,57.22,11.23,57.79,58.07,57.01,408620
SPROUT SOCIAL INC,61.84,10.26,61.25,62.57,60.62,407456
PARAZERO TECHNOLOGIES,0.694,15.57,0.72,0.7499,0.671,407257
I-MAB ADS,1.8,11.1,1.78,1.82,1.65,406116
UP FINTECH HOLDING,3.7,11.6,3.7,3.77,3.66,404671
OCEANFIRST FINANCIAL,16.34,12.27,16.17,16.56,16.02,403383
NATIONAL CINEMEDIA INC.,3.92,13.21,4.0,4.02,3.83,402766
IMMATICS N.V.,11.29,10.53,11.3,11.36,11.22,402401
NETSCOUT SYSTEMS INC.,21.39,12.06,21.66,21.66,21.15,401953
AEMETIS INC,3.53,13.02,3.64,3.64,3.36,400927
XENCOR INC.,18.74,11.68,18.72,18.9,18.36,399973
WEARABLE DEVICES,0.4094,6.06,0.386,0.4195,0.38,399250
RIBBON COMMUNICATIONS INC.,3.1,12.52,3.12,3.15,3.08,399221
PORCH GROUP INC.,2.33,10.85,2.34,2.37,2.28,397746
HYZON MOTORS INC.,0.7719,12.32,0.7902,0.7902,0.73,397295
FORTRESS BIOTECH INC.,1.85,16.09,1.95,1.95,1.82,396956
MOONLAKE IMMUNOTHERAPEUTICS,55.25,13.1,56.16,56.98,54.44,396332
CUREVAC N.V.,3.51,11.96,3.56,3.56,3.42,396274
STAGWELL INC.,6.45,11.53,6.41,6.5,6.33,395991
NEUROCRINE BIOSCIENCES INC.,141.74,10.5,142.73,142.91,141.06,395794
IMMUNOCORE HLD.,73.74,11.95,74.28,75.78,72.68,395515
CHILDREN S PLACE INC. (THE),21.39,13.08,22.01,22.01,21.26,395481
CYTEK BIOSCIENCES INC.,7.88,0.9,7.7,7.95,7.55,395275
CG ONCOLOGY INC.,35.81,15.64,38.0,38.76,35.81,394248
VERITEX HOLDINGS INC.,20.16,11.18,19.85,20.28,19.84,394131
MATTHEWS INTERNATIONAL,30.69,18.2,32.1,32.8,30.24,394111
HERITAGE COMMERCE CORP,8.53,11.16,8.47,8.64,8.46,393940
NMI HOLDINGS INC,31.28,11.88,31.61,31.96,31.27,393399
GRIID INFRASTRUCTURE INC.,2.0,150.62,4.15,4.29,1.98,393149
VERTEX INC.,25.98,2.81,25.25,25.98,25.11,390796
PHILLIPS EDISON & CO.,34.79,11.7,34.98,35.09,34.62,390330
RUNWAY GROWTH FINANCE,13.52,1.27,13.43,13.67,13.33,389884
CARDIO DIAGNOSTICS HLD.,2.15,15.7,2.14,2.26,2.05,389114
TALKSPACE INC.,2.45,0.41,2.44,2.46,2.39,387994
AUGMEDIX INC.,4.45,11.33,4.48,4.52,4.29,387961
GLADSTONE LAND CORP.,13.68,14.13,14.15,14.15,13.59,387185
AMPHASTAR PHARMACEUTICALS INC.,52.8,11.29,53.1,53.41,52.25,387059
NB BANCORP INC.,13.75,12.96,14.17,14.17,13.7,386728
POTBELLY CORP.,13.2,2.72,12.69,13.25,12.69,386306
REPLIGEN CORP.,196.17,1.8,190.45,196.54,187.63,386105
NCINO INC.,31.29,0.84,30.8,31.67,30.6,385391
TETRA TECH INC.,166.29,1.23,164.04,169.17,161.98,385033
ATOSSA THERAPEUTICS INC.,0.853,1.6,0.835,0.8646,0.83,384885
VERINT SYSTEMS INC.,29.06,11.52,29.17,29.48,28.95,384544
INARI MEDICAL INC.,57.9,0.31,57.21,58.17,56.52,384360
DIGI INTERNATIONAL INC.,28.85,4.23,27.68,29.28,27.33,383884
INTAPP INC.,45.09,3.2,43.49,45.2,42.93,383408
ZAI LAB LTD.,22.5,10.04,22.31,22.73,21.63,383110
ALVOTECH,15.7,11.57,15.75,15.92,15.31,383069
AXCELIS TECHNOLOGIES INC.,131.62,0.71,130.25,132.94,129.48,381185
YOSHITSU CO. LTD ADS,0.24,13.61,0.25,0.25,0.2349,378907
MANHATTAN ASSOCIATES INC.,250.56,0.6,249.0,252.66,248.42,378867
TRANSMEDICS GROUP INC.,88.2,10.38,86.53,88.32,83.93,378469
VERACYTE INC.,24.83,12.09,24.72,25.08,24.05,377878
AGILYSYS INC.,82.54,1.15,81.19,83.48,80.31,376480
TERNS PHARMACEUTICALS INC.,5.05,13.99,5.26,5.52,4.92,376431
CHORD ENERGY CORP.,151.5,11.25,152.52,153.23,150.7,375819
ZILLOW GROUP INC.,55.91,11.27,55.21,56.21,54.12,374234
ALIGNMENT HEALTHCARE INC.,6.48,0.0,6.43,6.57,6.27,374210
ORCHARD THERAPEUTICS PLC ADS,16.7,0.0,16.65,16.72,16.63,372349
RUSH ENTERPRISES INC.,46.31,0.17,45.59,46.49,45.24,372224
UMB FINANCIAL CORP.,82.22,11.46,81.65,83.64,81.44,371426
CYBERARK SOFTWARE,237.41,0.57,235.03,239.89,234.92,370846
RICHTECH ROBOTICS INC.,1.98,13.41,2.05,2.05,1.92,370127
GALERA THERAPEUTICS INC.,0.1748,12.62,0.18,0.183,0.1628,370081
MITEK SYSTEMS INC.,12.72,12.0,12.85,12.96,12.65,370058
BIT ORIGIN LTD.,9.35,9.1,8.98,9.71,8.2,369556
FTC SOLAR INC.,0.5055,13.6,0.51,0.5299,0.5,368519
RALLYBIO CORP.,1.31,13.68,1.4,1.4,1.29,368308
BUKIT JALIL GLOBAL ACQUISITION 1,10.47,0.0,10.46,10.47,10.46,367820
GREENIDGE GENERATION HLD.,3.39,19.36,3.7,3.71,3.17,367678
MYRIAD GENETICS INC.,21.27,11.57,21.27,21.54,20.98,367378
QUANTERIX CORP.,23.1,10.13,22.61,23.18,22.13,367244
THE CHEFS WAREHOUSE INC.,33.05,0.21,32.57,33.27,32.28,367009
BLUEPRINT MEDICINES,79.58,10.38,78.61,79.81,77.7,365993
QUIDELORTHO CORP.,68.34,11.6,68.57,69.06,67.16,365032
KRYSTAL BIOTECH INC.,111.8,0.22,110.19,112.68,110.0,364525
RED CAT HOLDINGS INC.,0.6483,15.36,0.665,0.6994,0.631,364190
OMEROS CORP.,3.4,0.0,3.4,3.42,3.21,363996
SPORTSMAN S WAREHOUSE HLD.,3.7,0.82,3.63,3.77,3.6,363852
VS MEDIA HOLDINGS,0.46,12.13,0.45,0.485,0.435,363598
SIGA TECHNOLOGIES INC.,4.66,13.32,4.8,4.88,4.64,362381
AXON ENTERPRISE INC.,256.99,1.7,252.7,258.62,251.13,362010
THERAVANCE BIOPHARMA INC.,8.9,12.84,9.24,9.24,8.78,361055
ARGO BLOCKCHAIN PLC ADS,1.93,17.21,2.06,2.08,1.92,360773
STRATASYS LTD.,13.36,10.07,13.23,13.4,12.81,360034
PASSAGE BIO INC.,1.02,5.15,0.97,1.03,0.96,359516
CONCENTRIX CORP.,87.47,12.03,87.7,88.46,86.22,359488
EDGIO INC.,0.2469,11.28,0.243,0.249,0.24,357098
ORGANOGENESIS HLD.,3.33,12.92,3.45,3.45,3.22,355735
ALTAIR ENGINEERING INC.,87.66,1.97,85.95,88.04,85.45,355022
Y-MABS THERAPEUTICS INC.,14.0,4.56,13.19,14.07,13.0,354919
PROGYNY INC.,39.09,0.85,38.37,39.37,38.08,354866
JAZZ PHARMACEUTICALS PLC,122.9,10.63,122.35,123.51,121.11,354394
EUROPEAN WAX CENTER INC.,15.2,10.91,15.26,15.48,14.99,352872
ALDEYRA THERAPEUTICS INC.,3.18,10.31,3.13,3.2,3.08,352063
ROCKWELL MEDICAL INC.,1.3,0.0,1.29,1.3,1.22,350099
ANGI INC.,2.4,10.83,2.4,2.43,2.36,349859
ITERUM THERAPEUTICS PLC ORD.,1.57,1.95,1.53,1.63,1.46,349733
CARROLS RESTAURANT GROUP INC.,9.43,0.11,9.4,9.44,9.4,348734
AMPLITUDE INC.,13.15,1.15,12.89,13.21,12.76,348594
THE HONEST CO.,2.91,10.68,2.85,2.94,2.8,348424
ONESPAWORLD HOLDINGS,13.75,11.93,13.95,14.01,13.52,348288
MIND MEDICINE (MINDMED) INC.,4.07,10.49,4.04,4.18,3.96,348133
MERCURY SYSTEMS INC,30.55,10.49,30.77,31.11,30.47,348120
ACUMEN PHARMACEUTICALS INC.,2.97,14.5,3.12,3.12,2.89,347846
CITIUS PHARMACEUTICALS INC.,0.6256,11.76,0.64,0.6498,0.622,347470
INDUSTRIAL LOGISTICS PROPERTIES TRUST,4.06,14.47,4.19,4.19,4.01,347443
CARPARTS.COM INC.,2.77,11.07,2.75,2.78,2.63,347057
CERENCE INC.,20.39,0.99,19.94,20.49,19.73,346994
CIRRUS LOGIC INC.,76.7,10.35,76.53,76.84,75.92,343896
POOL CORP.,373.85,10.86,372.8,377.49,361.16,343689
CALAVO GROWERS INC.,27.37,11.71,24.6,27.56,24.56,343154
STARBOX GROUP HOLDINGS,0.317,4.76,0.303,0.3199,0.272,342662
GRACELL BIOTECHNOLOGIES,10.21,10.2,10.16,10.25,10.16,342220
BLACKROCK TCP CAPITAL,11.24,11.14,11.31,11.41,11.22,341481
EYENOVIA INC.,1.81,14.74,1.9,1.9,1.79,341469
FTAI INFRASTRUCTURE INC.,4.28,12.28,4.31,4.36,4.23,341229
ALX ONCOLOGY HLD.,14.7,12.0,14.75,14.91,14.14,340881
MKS INSTRUMENTS INC.,109.35,1.02,107.19,109.84,106.98,339842
DASEKE INC.,8.15,0.0,8.15,8.16,8.15,338230
SUNCAR TECHNOLOGY GROUP INC.,9.22,12.95,9.31,9.64,9.12,337865
DMC GLOBAL INC.,16.45,13.58,16.76,17.03,16.16,337673
CINTAS CORP.,619.3,0.29,616.31,622.63,611.96,337264
FIRST FINANCIAL BANCORP.,22.13,11.03,21.9,22.33,21.81,336645
BLACKLINE INC.,60.3,10.38,59.44,60.55,59.23,336282
MULLEN AUTOMOTIVE INC.,7.06,12.89,7.2,7.27,6.81,332967
OLD SECOND BANCORP INC.,13.35,11.77,13.32,13.58,13.25,332467
EMBECTA CORP.,17.09,12.57,17.32,17.32,16.99,332448
MAWSON INFRASTRUCTURE GROUP,2.3,5.02,2.09,2.31,2.09,332212
VERB TECHNOLOGY CO.,0.1484,0.41,0.1457,0.1543,0.142,332103
ARCTURUS THERAPEUTICS HLD.,34.72,0.14,34.06,35.52,33.42,331937
GREENWAVE TECHNOLOGY SOLUTIONS,0.99,7.61,0.946,0.9905,0.93,330793
PERFORMANT FINANCIAL,2.92,0.34,2.86,3.06,2.86,330169
CUE BIOPHARMA INC.,2.45,13.92,2.5,2.53,2.34,329924
INTRUSION INC.,0.2184,15.04,0.23,0.2398,0.2055,328510
CARA THERAPEUTICS INC.,0.5741,2.35,0.5499,0.59,0.5471,328026
AQUA METALS INC.,0.592,11.66,0.6,0.6,0.585,328023
PERION NETWORK LTD,29.12,10.82,29.35,29.36,28.7,327506
WINDTREE THERAPEUTICS INC.,0.4,12.44,0.41,0.4198,0.3829,326732
HUMACYTE INC.,3.3,13.23,3.38,3.4,3.2,324708
TELOS CORP.,3.9,11.02,3.9,3.91,3.75,324707
NURIX THERAPEUTICS INC.,8.14,10.12,8.11,8.23,7.84,324257
CHURCHILL DOWNS INC.,121.86,10.36,121.68,122.58,119.58,324127
INDEPENDENT BANK GROUP INC,45.55,11.15,44.98,45.93,44.52,322964
AGRIFY CORP.,0.73,16.07,0.75,0.75,0.651,322849
AMC NETWORKS INC.,18.1,11.31,17.99,18.48,17.78,321742
GLYCOMIMETICS INC.,2.95,0.68,2.9,3.04,2.73,319812
BIG 5 SPORTING GOODS,5.08,12.5,5.23,5.23,5.03,319562
HANMI FINANCIAL,15.87,13.47,15.88,16.16,15.77,318334
BIOXCEL THERAPEUTICS INC.,3.06,13.77,3.16,3.18,3.04,317615
UNITED THERAPEUTICS,213.41,11.19,215.27,215.27,212.02,317450
O REILLY AUTOMOTIVE INC.,1047.31,0.53,1037.0,1054.57,1034.91,314719
CRYOPORT INC.,15.16,10.59,14.92,15.41,14.61,314561
SPYRE THERAPEUTICS INC.,25.74,10.46,25.63,26.1,24.56,314289
STERLING INFRASTRUCTURE INC.,78.53,0.22,78.0,79.02,76.89,314049
AXOGEN INC.,9.6,11.54,9.6,9.73,9.54,313726
GT BIOPHARMA INC.,0.195,4.95,0.1846,0.2,0.1805,312780
SOTERA HEALTH CO.,15.04,11.83,15.1,15.34,14.84,311039
CELLEBRITE DI,9.21,0.0,9.17,9.26,9.06,310749
ALLEGIANT TRAVEL CO.,79.11,11.01,78.61,80.44,78.2,310406
ANGIODYNAMICS INC.,5.93,11.33,5.92,6.02,5.87,309532
QUALYS INC.,187.87,11.32,188.97,190.67,187.6,309228
LOGITECH INTERNATIONAL S.A. REGISTERED,84.33,11.02,84.54,84.6,83.83,307708
OPTINOSE INC.,1.21,13.97,1.25,1.26,1.2,307445
GOSSAMER BIO INC.,0.8303,0.16,0.8111,0.8689,0.773,306406
DAKTRONICS INC.,7.69,11.54,7.8,7.81,7.61,305535
MERCADOLIBRE INC.,1772.9,1.41,1727.08,1783.51,1726.32,304974
PETROS PHARMACEUTICALS INC.,1.12,17.44,1.16,1.23,1.11,304734
ICECURE MEDICAL,1.36,14.23,1.43,1.44,1.35,303169
CARTESIAN THERAPEUTICS INC.,0.7078,15.63,0.7224,0.7717,0.7002,302697
IMMUNOME INC.,16.29,10.97,16.48,16.92,16.2,301836
KEEN VISION ACQUISITION,10.39,0.0,10.39,10.39,10.39,301000
MARTEN TRANSPORT,19.23,0.89,18.85,19.34,18.73,300580
COMTECH TELECOM,6.24,14.15,6.44,6.44,6.12,300170
METHANEX CORP.,46.14,0.35,45.86,46.74,44.91,298794
SMX (SECURITY MATTERS) PUBLIC,0.294,111.45,0.316,0.3302,0.292,298689
IKENA ONCOLOGY INC.,1.36,0.0,1.35,1.42,1.33,297905
IMMUNIC INC.,1.22,10.81,1.24,1.25,1.2,297717
SCYNEXIS INC.,2.14,1.42,2.14,2.14,2.01,297168
GLADSTONE CAPITAL,10.46,10.76,10.51,10.56,10.43,296725
SERA PROGNOSTICS INC.,7.66,8.04,7.01,7.74,6.72,296550
MARIN SOFTWARE INC.,0.405,1.38,0.4,0.42,0.3825,296545
LANCASTER COLONY,202.57,10.72,202.0,204.92,197.52,296459
CORSAIR GAMING INC.,12.7,11.17,12.68,12.79,12.54,296154
LUXURBAN HOTELS INC.,4.49,2.28,4.42,4.65,4.26,295944
VOYAGER THERAPEUTICS INC.,7.45,11.46,7.4,7.53,7.33,295652
OMNIAB INC.,5.79,12.2,5.84,5.88,5.75,295550
ADEIA INC.,12.53,0.0,12.38,12.61,12.28,295481
ICZOOM GROUP INC.,8.13,10.49,7.93,8.25,7.78,295303
CREXENDO INC.,5.89,1.9,5.67,6.1,5.5,294631
ONCOLYTICS BIOTECH INC.,1.15,12.54,1.19,1.2,1.15,294269
APPIAN CORP.,32.78,10.27,32.5,32.96,31.85,294043
VERICEL CORP.,42.89,11.74,43.01,43.61,42.51,293344
OPEN LENDING CORP.,7.08,12.07,7.13,7.14,7.01,292515
MONDEE HOLDINGS INC.,2.22,13.48,2.25,2.25,2.19,292500
THE ONE GROUP HOSPITALITY INC.,4.0,14.31,4.18,4.18,3.99,292108
HEALTH CATALYST INC,9.92,0.4,9.76,10.0,9.71,292075
EHEALTH INC.,7.27,0.28,7.04,7.38,6.99,291866
MAINZ BIOMED N.V.,0.875,17.89,0.899,0.92,0.85,291655
VICTORY CAPITAL HLD.,34.33,0.0,33.98,34.51,33.87,291607
FORMFACTOR INC.,39.35,0.33,38.86,39.8,38.86,291546
MERIT MEDICAL SYSTEMS INC.,79.31,10.9,79.27,79.96,78.23,291273
TRUSTMARK CORP.,27.15,0.0,26.53,27.54,26.53,291019
BRIGHTHOUSE FINANCIAL INC.,51.13,0.55,50.26,51.35,50.16,290831
IRHYTHM TECHNOLOGIES INC.,119.89,13.01,121.84,121.84,117.9,290780
SHATTUCK LABS INC.,9.62,1.26,9.22,9.79,9.22,290252
ARCELLX INC.,63.54,10.44,62.08,64.2,60.8,290158
CISO GLOBAL INC.,0.0975,2.63,0.0973,0.0975,0.095,289907
BRP INC.,62.89,11.83,63.34,63.45,62.18,288169
HANRYU HOLDINGS INC.,0.4998,2.04,0.5006,0.5081,0.485,288062
ALGOMA STEEL GROUP INC.,8.32,11.07,8.36,8.4,8.22,287933
AZENTA INC.,66.1,10.05,65.26,66.42,64.97,287867
HEARTLAND EXPRESS INC.,12.93,10.69,12.83,13.14,12.63,287660
INTEGRA LIFESCIENCES HLD.,40.17,11.83,40.37,40.5,39.84,287605
DESTINATION XL GROUP INC.,4.16,13.26,4.24,4.3,4.16,287156
JOYY INC. ADS,31.07,10.92,31.23,31.33,30.56,286715
SHENGFENG DEVELOPMENT,1.6,10.62,1.6,1.64,1.57,286089
GRID DYNAMICS HLD.,13.4,0.37,13.19,13.53,12.99,285490
CATHAY GENERAL BANCORP,40.09,10.07,39.16,40.36,39.16,284863
PMV PHARMACEUTICALS INC.,1.78,10.56,1.77,1.8,1.71,282890
TFS FINANCIAL CORP.,13.33,0.6,13.09,13.37,12.97,282724
ONDAS HOLDINGS INC.,1.37,10.72,1.35,1.39,1.24,281786
WSFS FINANCIAL CORP.,43.15,11.17,42.56,43.59,41.84,281663
X3 HOLDINGS CO.,1.4,13.45,1.4,1.54,1.38,278798
MALIBU BOATS INC.,46.31,3.16,44.51,46.83,43.94,277460
AMBARELLA INC.,51.99,0.13,51.25,52.2,50.86,277434
RAPT THERAPEUTICS INC.,24.92,10.72,24.56,25.4,24.15,277363
UPBOUND GROUP INC.,33.17,10.18,32.74,33.54,32.28,277245
VEECO INSTRUMENTS INC.,32.53,0.62,32.16,32.56,32.04,275638
SANDY SPRING BANCORP INC.,23.87,11.4,23.67,24.34,23.55,274727
ICOSAVAX INC.,15.24,0.2,15.22,15.32,15.19,274045
MGO GLOBAL INC.,0.42,14.52,0.4267,0.441,0.3701,274034
LANTRONIX INC.,6.57,6.66,6.13,6.6,6.07,273942
SPRUCE BIOSCIENCES INC.,3.52,2.33,3.46,3.65,3.29,273481
LIGHT & WONDER INC.,81.16,10.43,80.72,81.81,80.43,272819
AVROBIO INC.,1.28,0.79,1.26,1.28,1.22,272414
APTEVO THERAPEUTICS INC.,0.16,4.58,0.1517,0.16,0.1405,272004
EAGLE PHARMACEUTICALS INC.,5.85,13.78,5.99,6.07,5.59,271122
JAMF HOLDING CORP.,19.0,1.44,18.43,19.07,18.16,271092
AMERICAN RESOURCES,1.35,11.46,1.35,1.37,1.27,269657
LEAP THERAPEUTICS INC.,3.36,4.35,3.2,3.43,3.13,269578
ELECTRA BATTERY MATERIALS,0.38,11.44,0.3675,0.42,0.3401,269305
NETGEAR INC.,14.55,0.97,14.28,14.63,14.07,268223
XOMETRY INC.,35.58,1.83,34.94,36.29,34.4,268173
AMMO INC.,2.22,11.33,2.23,2.24,2.19,267410
INNODATA INC.,10.72,10.74,10.7,10.78,10.37,267155
ASLAN PHARMACEUTICALS,0.58,110.08,0.6301,0.645,0.5318,267100
SEER INC.,1.71,10.58,1.7,1.73,1.64,266935
BELITE BIO INC ADS,45.76,1.44,44.98,46.0,43.01,266884
CASTOR MARITIME INC.,0.493,2.73,0.4788,0.5,0.4775,266637
CARGO THERAPEUTICS INC.,23.5,4.44,22.7,24.15,22.34,266457
ALAUNOS THERAPEUTICS INC.,2.22,9.36,2.01,2.25,2.01,264656
MERUS N.V.,35.46,11.75,35.83,36.15,35.27,264345
TC BIOPHARM (HLD.,0.96,110.28,1.08,1.08,0.9401,263845
